,Price,Strap_color,Size_fits,Brand_Name,Screen_Size,Calling_System
508,699,black Strap, Free Size,SAMSTAR COLLECTION,1.85,No
509,879,Brown Strap, Regular,WOKIT WKT-,1.85,No
512,668,Orange Strap, Free Size,OMAZONE Smart,1.85,No
513,355,Dark Blue Strap, M,Time Up,1.85,No
514,1499,Z Black Strap, Free,Digiwins T500,1.85,No
515,999,Gold Strap, Regular,WONDERWORLD ™,1.85,No
518,879,Brown Strap, Regular,Eleganz ELNZ,1.85,No
519,749,black Strap, Free Size,SAMSTAR COLLECTION,1.85,No
523,699,Orange Strap, Free Size,firetouch T800,1.85,No
524,1499,Silver Strap, 1,iSmart 7,1.85,No
525,572,Black Strap, Free Size,Yash Enterprises,1.85,No
528,474,Red Strap, KIDS,windexa Digital,1.85,No
529,879,Brown Strap, Regular,HealthMax DZ09-10,1.85,No
532,740,Orange Strap, Free,DIGIBUDS T800,1.85,Yes
533,740,Orange Strap, Free Size,NSP STORE,1.85,No
534,1299,Black Strap, Free Size,FANOSONS A1,1.85,No
535,599,Black Strap, Free Size,Gunjan Enterprises,1.85,No
538,1499,Black Strap, Free Size,Digniti T55,1.85,No
539,579,Black Strap, Free,MindsArt OP.PO-T500,1.85,No
542,599,Orange Strap, FREE SIZE,TIGFANTER smart,1.85,No
543,1403,Black Strap, Free Size,Unique Collection,1.85,No
545,551,Black Strap, Free Size,TECHMAZE T500,1.85,Yes
548,899,Black Strap, Regular,IBS silver,1.85,No
549,699,Black Strap, Free Size,STAR T900,1.85,No
553,1329,Pink Strap, Free Size,Digniti New,1.85,No
558,879,Multicolor Strap, XL,ETN HQC,1.85,No
559,599,Black Strap, FREE SIZE,Zrose T500,1.85,No
562,999,Orange Strap, Regular,"alt Lit,",1.85,Yes
563,590,Black Strap, Free Size,Yash Enterprises,1.85,No
564,1399,Black Metal Strap, Free Size,boAt Storm,1.85,No
568,1999,Deep Blue Strap, Free Size,boAt Ultima,1.96,Yes
572,664,Orange Strap, Free Size,Gamesir Melbon,1.96,No
573,567,Black Strap, free,TECHMAZE Premium,1.85,Yes
574,587,Black Strap, Medium,Sequent Ultra,1.85,No
575,1499,Blue Strap, Regular,Noise Icon,1.91,Yes
579,593,Black Strap, Free Size,Yash Enterprises,1.85,No
582,606,Black Strap, Free,MSO T900,2.09,No
583,599,orange Strap, free,NIKHILX T800,1.85,No
584,799,Gold Strap, Regular Wear,WTG T500,1.96,Yes
585,599,Black Strap, Free Size,NIKHILX T500,1.85,No
589,683,Pink Strap, Free Size,PunnkFunnk i8,1.69,Yes
592,633,Orange Strap, Free,NAS T900/T10,1.85,No
593,693,Pink Strap, 1.75 Inch Big Display Sweat Proof,Gamesir T55,1.75,Yes
594,599,Black Strap, Free Size,Jinisha T500,1.85,No
595,630,Orange Strap, Freesize,WRADER T800,1.85,No
598,1299,Copper Metal Strap, Free Size,Boult Striker,1.85,No
599,590,Orange Strap, Free Size,Veritas Enterprises,1.85,No
602,881,Black Strap, free,Gedlly Calling4G,1.85,Yes
603,579,Black Strap, free,Lastpoint Mobile,1.85,No
604,879,Brown Strap,Brown Strap,NOOSY DZ-09-9,1.85,No
608,879,Black Strap, Standard,Kwitech Smartwatch,1.85,No
609,699,Black Strap, 44,OMAAYAA Find,1.85,No
613,795,Blue Strap, free,MindsArt 4G,1.85,No
615,1749,White Strap, Free Size,PS COLLECTION,1.85,No
619,795,Black Strap, free,gazzet Android,1.85,No
624,899,Black Strap, Regular,CREATION4U DZ09-31,1.85,No
629,699,Black Strap, Free Size,maxphony T800,1.85,No
632,849,Black Strap, Regular,Medulla MD,1.85,No
633,675,Orange Strap, FREE SIZE,TIGFANTER t-800,1.85,No
634,699,White Ocean Strap, Free,Spark-X Ultra,1.85,No
635,879,Black Strap, Regular,WDS WDS,1.85,No
638,379,Black Strap, FREE SIZE,Clonezo ADVANCE,1.85,No
639,1529,Pink Strap, Free Size,SAMSTAR COLLECTION,1.85,No
642,469,Black Strap, FREE SIZE,Clonezo ULTRA_D18,1.85,No
644,296,White Strap, Free size,KAIN kids,1.85,No
645,1599,Light Gold O Strap, Free Size,Fire-Boltt Gladiator,49.7,No
649,299,Cream Strap, M,HLMT Teenagers,1.85,No
652,559,Black Strap, Free Size,Yash Enterprises,1.85,No
653,1039,Multicolor Strap, Free Size,SIACART 7,1.85,No
655,590,ORANGE Strap, 5,Pushkar Traders,1.85,No
658,588,Orange Alpine Strap, Free,technofill Ultra,1.85,No
659,877,Brown Strap, Regular,Bastex DZ09,1.85,No
663,1599,Blue-M Strap, Free Size,Fire-Boltt Lumos,48.5,No
665,549,Orange Strap, Free Size,MTOUCH T800,1.99,No
668,999,Grey Strap, Free Size,WTG H9,2.01,Yes
669,1385,Golden, Free,Avonix Trendy,1.85,No
672,1699,Silver-C Strap, Free Size,Fire-Boltt Spectre,33.5,No
673,1699,Jet Black Strap, Free Size,Pebble Ultra,1.83,No
674,1045,Black, Free Size,Sarsa 8,1.85,Yes
675,631,Black Strap, Free Size,ROBB STARK,1.85,No
678,624,Black Strap, Free Size,VDTECH S8,1.85,Yes
679,567,Black Strap, 1.90 Inch,NIKHILX T500/T800/T700,1.85,No
682,620,Black Strap, Free Size,Satyam TRADERS,1.85,Yes
683,590,Black Strap, Free Size,Congi Android,1.85,No
684,590,Black Strap, Free Size,NSP STORE,1.85,No
685,1799,Black Gold Silver Strap, Free Size,Fire-Boltt Astra,1.85,No
688,664,Black Titanium Strap, 1.5 Inch,PunnkFunnk T55,1.85,Yes
689,299,RED Strap, KIDS,Miyota Detachable,1.85,No
692,949,Pink Strap, Free Size,PS COLLECTION,1.85,No
693,372,Black Strap, free,Ykarn Trades,1.85,No
694,1399,Red Strap, Free Size,Fire-Boltt Legend,35.3,Yes
695,699,Black Strap, Free Size,Jeemak T900,1.85,No
698,1099,Copper Black Strap, Free Size,beatXP Marv,1.85,Yes
699,1699,Gold C Strap, Free Size,Fire-Boltt Gladiator,49.7,No
702,710,Orange Strap, Free Size,PLUS ORSON,1.85,No
703,598,Black Strap, Free Size,Yash Enterprises,1.85,No
705,624,Orange Strap, Free Size,VDTECH S8,1.85,Yes
709,648,Orange Strap, Free Size,Mynz T10,1.85,No
713,709,Black Strap, Free Size,TRUETAG T900,1.85,No
714,710,Black Strap, Free Size,PLUS ORSON,1.85,No
715,588,Orange Strap, Free Size,zdea T900,1.85,No
718,1699,Silver C Strap, Free Size,Fire-Boltt Gladiator,49.7,No
719,813,Black Strap, Free Size,Neel Traders,1.85,No
723,1633,Gold Strap, Free Size,TECHMAZE Smart,1.85,No
724,557,Black Strap, Free Size,TECHMAZE T500,1.85,Yes
728,598,Orange Strap, Free Size,Arceus T900,1.85,No
729,499,Black Strap, Free Size,Neeraj Traders,1.85,No
732,549,Black Strap, Free Size,technofill Latest,1.85,No
733,1799,Blue Strap, Regular,Ambrane Wise,1.78,No
734,1349,Multicolor Strap, Free Size,Hokti i20,1.85,No
735,1380,Golden, Free,ULTRON Trendy,1.85,No
738,546,Orange Strap, Free,NIKHILX T800,1.85,No
739,1439,Rosegold Strap, Free size,dicrobots WOMEN,1.85,No
743,614,Orange Strap, Free Size,zora Pack,1.85,Yes
744,1249,Multicolor Strap, Free Size,Veritas Enterprises,1.85,No
745,1282,Red Strap, Regular Size,Melbon Kids,1.85,Yes
748,1699,Peach Strap, Free Size,WTG Active,1.85,Yes
749,700,black Strap, Free Size,PS COLLECTION,1.85,Yes
752,800,Black Strap, Free Size,TAXTURE DZ09,1.85,No
753,664,Black Strap, Free Size,BEST BOOST,1.85,Yes
754,589,Orange Strap, Free Size,Melbon T800,1.85,Yes
755,647,Black Strap, Free Size,Chirag Traders,1.85,No
758,1899,Cool Blue Strap, Free Size,boAt Lunar,1.45,Yes
762,498,pink Strap, free size,Amexton I8MAX-PRO,1.85,No
764,620,Orange Strap, Free Size,Satyam TRADERS,1.85,No
765,740,Multicolor Strap, Free Size,TECHMAZE I40,1.85,No
768,563,Orange Strap, Free Size,Satyam TRADERS,1.85,No
769,630,Black Strap, free,KDGLOBALMART T900,1.85,No
772,474,NA Strap, For All,AMAN ASSOCIATES,1.85,No
773,511,Orange Strap, Free size,NIKHILX Ultra,1.85,No
774,548,Orange Strap, Free Size,Arceus Android,1.85,No
775,870,MULTICOLOR Strap, FOR ALL,EVAAENTERPRISES C9,1.85,No
778,580,Black Strap, Free Size,TECHMAZE T500,1.85,Yes
779,1499,Gold, 49,OXILAG Latest,1.85,Yes
782,1282,Black Strap, Regular Size,Melbon Kids,1.85,Yes
783,882,Gold Strap, 2.10 Inch Sunlight Proof Display,Philo 24K,1.85,No
784,795,Black Strap, 43.5*40*11.8,Epresent DZ09,1.85,No
785,1699,Pink Strap, Free Size,Gamesir Active,1.85,No
788,664,Black Strap, Free Size,BEAT IT,1.85,Yes
789,589,black Strap, Free Size,SAMSTAR COLLECTION,1.85,Yes
792,873,Gold Strap, Free Size,maavi Watch,1.85,No
793,835,Brown Strap, Free,Rock DZ09,1.85,No
794,1799,Rose Gold Strap, Free Size,Cultsport Beats,1.85,No
795,559,Orange Strap, Free Size,ROCK TOUCH,1.85,No
798,673,Black Strap, 1.99,Melbon T800,1.85,No
799,599,Orange Strap, Free Size,wipix New,1.85,Yes
802,675,Black Strap, FREE SIZE,TIGFANTER t800,1.85,No
803,849,Silver Strap, 2.0 INCH DISPLAY,MTR AVATAR,1.85,No
804,649,Black Strap, Free Size,TECHMAZE T500,1.85,Yes
805,470,Black Strap, small,Bilton Bilton,1.85,No
808,1379,Pink Strap, Free Size,PS COLLECTION,1.85,No
809,699,Orange Strap, Free Size,maxphony T800,1.85,No
813,879,Black Strap, Regular,WOKIT WKT-,1.85,No
815,795,Brown Strap, Regular,MindsArt A3,1.85,No
818,879,Black Strap, Regular,Eleganz ELNZ,1.85,No
819,712,Black Strap, Free Size,SUFA T55,1.85,No
822,880,Black Strap, Free Size,TAXTURE DZ09-Bluetooth,1.85,Yes
823,879,Black Strap, XL,ETN ZYK_480Z,1.85,No
824,699,Orange Strap, Free Size,BEST BOOST,1.85,No
825,799,black Strap, Free Size,SAMSTAR COLLECTION,1.85,Yes
832,599,Black Strap, Free Size,TECHMAZE T500,1.85,Yes
833,1479,Pink Strap, Free Size,SAMSTAR COLLECTION,1.85,No
834,1579,White Strap, Free Size,PS COLLECTION,1.85,No
839,879,Gold Strap, Free Size,KING LISTEST,1.85,No
842,490,Orange Strap, Free Size,dlx hmt,1.85,Yes
843,622,Orange Strap, Free Size,ROBB STARK,1.85,No
844,1389,Multicolor Strap, Free Size,MAYAS S8,1.85,Yes
848,578,Orange Strap, Free Size,Lv enterprises,1.85,No
849,1319,Gold Strap, Free Size,TECHMAZE luxury,1.85,No
852,379,Black Strap, FREE SIZE,Clonezo _D20,1.85,No
