,Price,Strap_color,Size_fits,Brand_Name,Screen_Size,Calling_System
134,1499,Active Black Strap, Free Size,boAt Lunar,1.39,No
135,5499,Blue Strap, Free Size,CMF by,1.32,No
136,1399,Peach fuzz Strap, Free Size,Boult Drift+,1.85,Yes
137,1399,Chrome Strap, Free Size,Boult Drift+,1.85,Yes
138,1699,Black Strap, 1.43,Fire-Boltt Ninja,36.3,No
139,1199,Active Black Strap, Free Size,boAt Wave,1.83,No
140,1299,Cream Strap, Free Size,Boult Striker,,Yes
141,1399,Gunmetal Strap, Free Size,Boult Drift,1.69,Yes
142,1199,Golden, Free Size,Gamesir S9,,No
143,4499,Gray Strap, Free Size,SAMSUNG Galaxy,,No
144,2099,Rose Gold Strap, Free Size,Fire-Boltt Jewel,1.85,No
145,2299,Jet Black Strap, Free Size,boAt Wave,1.96,No
146,1699,Jet Black Strap, Free Size,Boult CrownX,2.0,Yes
147,2499,Black Strap, Free Size,Inbase FIT,1.78,No
148,1199,Gold Strap, Free Size,PunnkFunnk S9,,Yes
149,1799,Black Strap, Free Size,Fire-Boltt Apollo,36.3,No
150,2499,Space Grey Strap, Free Size,Urban FIT,1.78,Yes
151,2270,Silver Strap, Regular,AXL CZAR,1.81,No
152,1699,Gold Link Strap, Regular,Noise Crew,1.39,Yes
153,1699,Gold Strap, 1.43,Fire-Boltt Ninja,36.3,No
154,1994,Black Strap, Regular,realme Smart,,No
155,1899,Grey Strap, Regular,Noise Force,1.46,No
156,1999,Black Strap, Free Size,Inbase Urban,1.7,Yes
157,1399,Black Strap, Standard,TXOR WAVE,,No
158,3999,WHISKEY BROWN Strap, Free Size,Pebble Royale,1.43,No
159,1499,Black Strap, Regular,Noise Icon,1.91,Yes
160,1299,Black Strap, Free Size,Boult Drift,1.69,Yes
161,1399,Jet Black Strap, Free Size,Boult Drift+,1.85,Yes
162,1299,Blue Strap, Regular,Noise Thrive,1.85,Yes
163,2599,Charcoal Black Strap, Free Size,REDMI Watch,1.83,Yes
164,1299,Pink Strap, Free Size,iConnect by,,No
165,4999,Ash Grey Strap, Free Size,CMF by,1.32,No
166,1399,Black Coffee Strap, Free Size,Boult Drift+,1.85,Yes
167,1299,Green Strap, Free Size,Boult Drift,1.69,Yes
168,1799,Elite Silver Strap, Regular,Noise Crew,1.39,Yes
169,1199,Active Black Strap, Free Size,boAt Lunar,,Yes
170,1299,Sand Black Strap, Free Size,Boult Drift,1.69,Yes
171,1999,Chrome Rig Strap, Free Size,Boult CrownR,1.43,Yes
172,2099,Champagne Strap, Free Size,Fire-Boltt Brillia,51.3,No
173,999,Black Strap, Free Size,"alt Hunk,",1.96,Yes
174,2299,Green Strap, Free Size,Fastrack Revoltt,1.96,No
175,2999,Pink Strap, Free Size,Fastrack Revoltt,1.3,No
176,1399,Peach fuzz Strap, Free Size,Boult Drift+,1.85,Yes
177,1399,Chrome Strap, Free Size,Boult Drift+,1.85,Yes
178,1499,Black Strap, Free Size,Fire-Boltt Destiny,35.3,No
179,2399,Jet Black Strap, Free Size,Boult CrownR,1.43,Yes
180,1299,Cream Strap, Free Size,Boult Striker,,Yes
181,1399,Gunmetal Strap, Free Size,Boult Drift,1.69,Yes
182,1799,Coal Black Strap, Free Size,Boult Mirage,1.39,Yes
183,999,Electric Black Strap, Free Size,beatXP Marv,1.96,Yes
184,1099,Snow Leather Strap, Free Size,Boult Cosmic,1.3,Yes
185,1199,Gold Strap, Free Size,Gamesir S9,,Yes
186,1699,Jet Black Strap, Free Size,Boult CrownX,2.0,Yes
187,2499,Black Strap, Free Size,Inbase FIT,1.78,No
188,1799,Active Black Strap, Regular,Noise Icon,1.78,Yes
189,1999,Black Strap, Free Size,Fastrack FR1|1.39,1.39,No
190,2499,Space Grey Strap, Free Size,Urban FIT,1.78,Yes
191,2270,Silver Strap, Regular,AXL CZAR,1.81,No
192,999,Ice Silver Strap, Free Size,beatXP Sigma,1.38,Yes
193,1799,Black Strap, Free Size,Fire-Boltt Ultimate,35.3,No
194,1799,Black Strap, Regular,Noise Fuse,1.43,Yes
195,1399,Green Strap, Regular,Noise Loop,1.85,No
196,1999,Black Strap, Free Size,Inbase Urban,1.7,Yes
197,1399,Black Strap, Standard,TXOR WAVE,,No
198,1349,Black Strap, Free Size,boAt Wave,,Yes
199,999,Ice Silver Strap, Free Size,beatXP Marv,1.85,Yes
200,1299,Black Strap, Free Size,Boult Drift,1.69,Yes
201,1399,Jet Black Strap, Free Size,Boult Drift+,1.85,Yes
202,879,Black Strap, Regular,Ocean I,,No
203,699,Orange Strap, Free Size,FEEL FLON,,No
204,664,Black Strap, Free Size,BEST BOOST,,No
205,388,Black Strap, FREE SIZE,Clonezo MAX_ID116,,No
206,1399,Black Coffee Strap, Free Size,Boult Drift+,1.85,Yes
207,1299,Green Strap, Free Size,Boult Drift,1.69,Yes
208,21995,Silver Strap, Regular,FOSSIL Q,,No
209,719,Black Titanium Strap, 1.89 Inch,Plextone Trending,,Yes
210,1299,Sand Black Strap, Free Size,Boult Drift,1.69,Yes
211,1999,Chrome Rig Strap, Free Size,Boult CrownR,1.43,Yes
212,699,Black Strap, Free Size,Dude T800,,No
213,590,Orange Strap, FREE SIZE,TIGFANTER T800,1.99,No
214,664,Black Strap, Free Size,Dude T800,1.9,No
215,699,Black Strap, Free Size,BEST BOOST,,No
216,1399,Peach fuzz Strap, Free Size,Boult Drift+,1.85,Yes
217,1399,Chrome Strap, Free Size,Boult Drift+,1.85,Yes
218,569,Black Strap, Free,IMSZZ i8,,No
219,3400,Black Strap, Free,safeobuddykids KS01,,No
220,1299,Cream Strap, Free Size,Boult Striker,,Yes
221,1399,Gunmetal Strap, Free Size,Boult Drift,1.69,Yes
222,546,Black Strap, Free Size,TECHMAZE T500,,Yes
223,333,White Strap, Free,MVS Digital,,No
224,749,Black Strap, Free,Tunifi T800,,Yes
225,897,Black Strap, Regular,Axxe DZ09,,No
226,1699,Jet Black Strap, Free Size,Boult CrownX,2.0,Yes
227,2499,Black Strap, Free Size,Inbase FIT,1.78,No
228,879,Brown Strap, Regular,Medulla DZ09,,No
229,1249,black Strap, Free Size,XYZ COLLECTION,,Yes
230,2499,Space Grey Strap, Free Size,Urban FIT,1.78,Yes
231,2270,Silver Strap, Regular,AXL CZAR,1.81,No
232,1244,Black Strap, Free Size,VYGHA COLLECTION,,No
233,799,Black Strap, Free,PunnkFunnk T30,,No
234,699,Black Strap, Free Size,PLUS ORSON,,No
235,676,Black Strap, Free Size,VYGHA COLLECTION,,No
236,1999,Black Strap, Free Size,Inbase Urban,1.7,Yes
